Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
4758.0,0.3960409495875642,10.482107711237674,0.0019271452636482,1.7593349977021275,1.2684589156553864e-05,0.4520048843767366,10020808.0,2.0,0.25,57.07025,10.588843772456936,3.184,121.7296,0.6450626005484383,0.0,0.75,-0.75,55.7,41.1,47.2,24.0,2.0,0,焦虑
14336.0,2.179726635572727,11.007591822084356,0.0029283822063788,0.3906712167474684,4.804009474564686e-07,0.0728371409988222,10020808.0,3.0,0.0,178.4856043956044,132.6989754360506,3.053055556,150.0725,0.1457989321118509,-0.25,-0.5,-0.25,55.7,41.1,47.2,24.0,2.0,柠檬,无聊
15024.0,0.2097503439809054,9.148893226712593,0.0019800435767701,1.269325836872909,104.1349181933446,1.3009840741981944,10030808.0,1.0,0.0,0.0,0.0,3.208235294,153.7632353,0.7294345027883197,0.5,0.0,1.75,55.7,41.1,47.2,24.0,2.0,0,依赖
9514.0,49.86977462122419,13.198952951051607,0.0022410911100096,1.18364446817348,0.166821715100686,4.879476878696066,10030808.0,2.0,0.079999999999984,190.15,0.0,3.705789474,84.84157895,0.0374886033986258,0.0,1.0,-0.5,55.7,41.1,47.2,24.0,2.0,0,恐惧
15190.0,49.86977750334098,14.459560648939926,0.0014704139169471,1.1586648645391078,0.1668414364156925,32.46801470199379,10030808.0,3.0,0.079999999999984,303.55,0.1100000000000136,3.02,161.722,0.0804682949377876,-0.5,-1.0,-0.75,55.7,41.1,47.2,24.0,2.0,薰衣草,无聊
15014.0,0.1913627631414368,9.148786909548944,0.0029717621581907,2.074088878295065,135.4887108092392,1.9518298785466108,10040804.0,1.0,0.0,0.0,0.0,3.200294118,153.7588235,0.7144955657192469,2.0,1.67,1.25,55.7,41.1,47.2,24.0,2.0,0,喜悦
13204.0,49.85923466108717,12.361410819702986,0.0016685494147354,1.5144166068866889,0.1668212857103867,3.854527287223665,10040804.0,2.0,0.1299999999999954,167.53368421052633,62.95611117115648,3.594615385,113.6611538,0.702830317425701,-0.5,-0.25,-1.5,55.7,41.1,47.2,24.0,2.0,0,悲伤
15030.0,49.86962595997857,13.338822413590462,0.0014844973760865,1.2325572404552567,0.1668483339695983,2.8946653565249187,10040804.0,3.0,0.079999999999984,141.9429213483146,84.31191251220508,3.3671875,143.284375,0.2652276694340399,-0.5,-0.5,-0.5,55.7,41.1,47.2,24.0,2.0,薄荷,悲伤
110.0,0.130225357202812,9.148586832919673,0.0014847203713022,6.542176265083433,139.02019665908898,0.7663020060830369,11010807.0,1.0,0.0,0.0,0.0,3.2121875,149.7034375,0.6240501142992313,0.0,-0.67,-2.75,27.8,61.6,57.5,24.0,2.0,0,无聊
79.0,0.4071452001823493,11.931035142090492,0.0089508673207277,8.32192575364232,0.0027334886573917,0.1387474247962131,11010807.0,2.0,0.3299999999999983,49.440000000000005,8.277973553584609,3.137142857,118.9592857,0.2437863887762057,0.0,0.0,-1.5,27.8,61.6,57.5,24.0,2.0,0,悲伤
